time,0
2020_05_25,"[[1.1470304e+07 2.4940000e+03 3.5499000e+04 5.0263000e+04 4.3320000e+03]
 [1.9660000e+03 5.4881560e+06 1.2070000e+03 3.4558000e+04 4.3190000e+03]
 [3.3127000e+04 2.2180000e+03 3.2050100e+06 1.5219300e+05 9.8800000e+02]
 [4.0777000e+04 5.0431000e+04 9.7794000e+04 4.8174232e+07 2.0996000e+04]
 [6.0780000e+03 4.6670000e+03 1.4970000e+03 2.9173000e+04 1.3294391e+07]]"
2020_05_26,"[[1.2619490e+07 2.4670000e+03 3.3797000e+04 5.1308000e+04 4.8980000e+03]
 [1.7450000e+03 6.0668130e+06 1.3880000e+03 3.7620000e+04 5.0750000e+03]
 [2.8683000e+04 2.0980000e+03 3.6280010e+06 1.5937900e+05 8.0300000e+02]
 [3.9507000e+04 4.3054000e+04 9.1611000e+04 5.4773835e+07 2.1462000e+04]
 [6.1810000e+03 4.3630000e+03 1.6270000e+03 3.1323000e+04 1.4332062e+07]]"
2020_05_27,"[[1.2886320e+07 2.7430000e+03 3.5737000e+04 5.0285000e+04 5.2400000e+03]
 [1.7940000e+03 6.1806170e+06 1.6700000e+03 3.6104000e+04 4.8970000e+03]
 [2.5668000e+04 2.2540000e+03 3.6273100e+06 1.5202700e+05 1.1840000e+03]
 [3.9676000e+04 4.3722000e+04 9.3347000e+04 5.5868885e+07 2.0418000e+04]
 [6.6000000e+03 4.2750000e+03 1.6990000e+03 2.7441000e+04 1.4534645e+07]]"
2020_05_28,"[[1.2850203e+07 2.3480000e+03 3.5866000e+04 5.3599000e+04 5.0060000e+03]
 [1.7040000e+03 6.4649450e+06 1.2280000e+03 3.8182000e+04 4.9490000e+03]
 [3.1030000e+04 2.4970000e+03 3.6765020e+06 1.6270900e+05 1.3920000e+03]
 [4.1660000e+04 4.5034000e+04 9.6946000e+04 5.6698723e+07 2.0659000e+04]
 [6.5540000e+03 4.2170000e+03 2.2310000e+03 2.5355000e+04 1.4370649e+07]]"
2020_05_29,"[[1.3497913e+07 2.2850000e+03 4.1155000e+04 5.6936000e+04 5.1100000e+03]
 [2.3160000e+03 6.8907710e+06 1.7340000e+03 4.3441000e+04 4.2730000e+03]
 [3.8933000e+04 2.9260000e+03 3.8331050e+06 1.7787800e+05 1.0330000e+03]
 [4.6562000e+04 5.2858000e+04 1.0882500e+05 6.2172847e+07 2.0146000e+04]
 [7.2560000e+03 4.6360000e+03 2.1020000e+03 2.5766000e+04 1.5485572e+07]]"
2020_05_30,"[[1.2491259e+07 2.5070000e+03 4.0135000e+04 5.9029000e+04 4.6960000e+03]
 [2.4100000e+03 6.4390080e+06 1.4430000e+03 4.4037000e+04 4.1300000e+03]
 [4.0452000e+04 2.5790000e+03 3.5294310e+06 1.8728300e+05 1.4300000e+03]
 [4.8647000e+04 5.6970000e+04 1.1231400e+05 5.8769654e+07 2.0666000e+04]
 [6.4000000e+03 4.2320000e+03 2.4570000e+03 2.6676000e+04 1.4718682e+07]]"
2020_05_31,"[[1.1279826e+07 2.4780000e+03 3.5327000e+04 4.9273000e+04 4.1370000e+03]
 [2.0680000e+03 5.7652750e+06 1.1150000e+03 3.7013000e+04 3.4970000e+03]
 [3.3309000e+04 1.8330000e+03 3.2535950e+06 1.4605300e+05 1.1430000e+03]
 [4.1526000e+04 4.4177000e+04 9.7542000e+04 5.1496860e+07 1.7350000e+04]
 [5.5390000e+03 3.5670000e+03 2.3660000e+03 2.3273000e+04 1.3722581e+07]]"
2020_06_01,"[[1.1937006e+07 2.6820000e+03 3.8272000e+04 4.8528000e+04 4.2950000e+03]
 [1.6370000e+03 6.4860810e+06 9.8400000e+02 3.7161000e+04 3.7290000e+03]
 [2.8614000e+04 1.7830000e+03 3.6337300e+06 1.4691000e+05 9.8500000e+02]
 [4.2890000e+04 4.1545000e+04 9.1453000e+04 5.5582150e+07 2.0695000e+04]
 [6.0230000e+03 3.7110000e+03 2.0920000e+03 2.3046000e+04 1.4709250e+07]]"
2020_06_02,"[[1.2427115e+07 2.1460000e+03 3.6538000e+04 5.1543000e+04 4.4360000e+03]
 [2.2290000e+03 6.5030140e+06 1.1270000e+03 3.6616000e+04 3.8200000e+03]
 [2.6069000e+04 2.0980000e+03 3.7036570e+06 1.4358800e+05 1.1460000e+03]
 [4.2421000e+04 4.3287000e+04 9.8325000e+04 5.6615817e+07 2.2769000e+04]
 [6.3450000e+03 3.5930000e+03 1.9630000e+03 2.2489000e+04 1.4851256e+07]]"
2020_06_03,"[[1.2755790e+07 2.6690000e+03 3.8104000e+04 5.6449000e+04 4.7940000e+03]
 [2.4370000e+03 6.3868320e+06 1.2240000e+03 3.8703000e+04 3.8820000e+03]
 [2.5190000e+04 2.1380000e+03 3.7173600e+06 1.4466300e+05 1.2610000e+03]
 [4.4232000e+04 4.3301000e+04 1.0105400e+05 5.7725698e+07 2.3699000e+04]
 [6.7930000e+03 4.2830000e+03 2.3870000e+03 2.3822000e+04 1.5216463e+07]]"
2020_06_04,"[[1.2598520e+07 3.1430000e+03 3.9977000e+04 5.7429000e+04 5.3760000e+03]
 [1.7830000e+03 6.5583860e+06 1.5610000e+03 4.2093000e+04 4.2170000e+03]
 [2.7723000e+04 2.2470000e+03 3.7566170e+06 1.5998700e+05 1.0150000e+03]
 [4.5146000e+04 4.6722000e+04 1.0913000e+05 5.8509658e+07 2.3129000e+04]
 [6.6330000e+03 3.7580000e+03 2.1470000e+03 2.4213000e+04 1.4969855e+07]]"
2020_06_05,"[[1.3105241e+07 3.1230000e+03 3.9358000e+04 6.0996000e+04 5.4000000e+03]
 [1.7750000e+03 6.7977990e+06 1.7020000e+03 4.4730000e+04 4.7520000e+03]
 [3.4340000e+04 2.2520000e+03 3.8580540e+06 1.8030300e+05 1.4370000e+03]
 [4.7415000e+04 5.4482000e+04 1.2055700e+05 6.1656116e+07 2.5156000e+04]
 [7.0010000e+03 5.0440000e+03 2.5220000e+03 2.8707000e+04 1.5444410e+07]]"
2020_06_06,"[[1.2990371e+07 3.2600000e+03 4.2144000e+04 6.0546000e+04 5.1430000e+03]
 [2.0750000e+03 6.4541980e+06 1.4450000e+03 4.4660000e+04 4.4840000e+03]
 [3.4673000e+04 2.0670000e+03 3.6071670e+06 1.8697000e+05 1.4580000e+03]
 [4.8763000e+04 6.5031000e+04 1.2990100e+05 5.9351713e+07 2.5900000e+04]
 [7.1270000e+03 5.5490000e+03 2.3580000e+03 2.8161000e+04 1.5148644e+07]]"
