confirmed_agent_mean_4w,confirmed_agent_mean_8w,confirmed_gt_mean,confirmed_agent_mean_ori,confirmed_agent_mean_det,death_agent_mean_4w,death_agent_mean_8w,death_gt_mean,death_agent_mean_ori,death_agent_mean_det
4524171.667,4175735,6410987,4473196.333,4360204.333,87988.33333,81865,99932,87469.66667,85535.33333
4566892.667,4209661.5,6491993,4508307,4393219,88274,82125.5,100836,87754.33333,85805.66667
4608929.667,4242826.75,6576436,4542568,4425681.667,88560,82385,101760,88037,86073
4651856.333,4276862.75,6666951,4577414.333,4458651.333,88846.66667,82642.75,102892,88316.66667,86340
4695012,4310472.75,6763334,4611894,4491726.333,89134,82899,104306,88595.66667,86605
4739757,4345309.75,6854736,4647260,4525595,89421,83153.5,105704,88872.66667,86869
4785440,4379919,6949410,4682490,4560122.667,89711.33333,83408.75,107076,89147,87132.33333
4833393.667,4415967.75,7038387,4719030,4595934.333,90002,83663,108219,89419.33333,87394.33333
4872278.667,4451716,7126198,4755541.333,4630550.333,90294,83915.5,109164,89689.33333,87655.33333
4910199.667,4487831.5,7211475,4791984.667,4665225,90582.66667,84168,110072,89959,87914
4947994.667,4523569.5,7298937,4828413.333,4700040,90867.33333,84419.75,111181,90228,88171
4985831.333,4559938,7389098,4865040.667,4735330.667,91151.33333,84670.5,112652,90495.33333,88426.33333
5023990.333,4596323.25,7481435,4901921.333,4771124.333,91433,84920.25,114207,90761.66667,88680.33333
5062547,4633869.75,7571620,4939445,4808327.667,91713.33333,85168.25,115759,91027,88935.33333
5102499,4672287.25,7655653,4977870.333,4846746.667,91993,85417.25,117021,91292,89190.33333
